frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
62,2.066667,0.40464636,0.7784201,0.44468425,0.18049762,-0.306241,0.113841,0.932024,0.8
63,2.1,0.4042027,0.7781829,0.44462174,0.18265559,-0.306784,0.114087,0.933719,0.8
64,2.133333,0.40349482,0.77779875,0.44494496,0.1850541,-0.307324,0.114335,0.935322,0.8
65,2.166667,0.40277084,0.7775107,0.44518583,0.18724938,-0.307849,0.114556,0.936876,0.8
66,2.2,0.40230592,0.77742339,0.44511062,0.18878389,-0.308482,0.114786,0.938796,0.8
67,2.233333,0.40245316,0.77732875,0.44487154,0.18942226,-0.308864,0.114874,0.939897,0.8
68,2.266667,0.40320054,0.7770202,0.44452436,0.18991321,-0.308905,0.114829,0.939937,0.8
69,2.3,0.40379622,0.77670563,0.44429676,0.19046614,-0.308999,0.114824,0.940148,0.8
70,2.333333,0.4039095,0.77663606,0.44406895,0.19104009,-0.30937,0.114942,0.941265,0.8
71,2.366667,0.40401927,0.77664035,0.44384204,0.19131765,-0.309532,0.114984,0.941756,0.8
72,2.4,0.40387358,0.77642264,0.44510439,0.18956819,-0.308026,0.113918,0.936358,0.8
73,2.433333,0.40339267,0.77597767,0.44709163,0.18772876,-0.306126,0.11163,0.928424,0.8
74,2.466667,0.40284171,0.7759727,0.44775939,0.18734047,-0.305108,0.107236,0.920757,0.8
75,2.5,0.40188873,0.77609097,0.44835539,0.18747187,-0.306767,0.100289,0.916449,0.8
76,2.533333,0.40528957,0.77363978,0.44788871,0.19135716,-0.310833,0.091452,0.914253,0.8
77,2.566667,0.4151052,0.76763871,0.4461366,0.1984455,-0.316096,0.081612,0.914053,0.8
78,2.6,0.43042909,0.75841054,0.44453585,0.20477334,-0.324116,0.071815,0.919946,0.8
79,2.633333,0.44381904,0.75038943,0.43839767,0.2185128,-0.332325,0.060861,0.925275,0.8
80,2.666667,0.45540116,0.74351893,0.42758635,0.23866147,-0.339099,0.05076,0.927764,0.8
81,2.7,0.46111168,0.74076052,0.41519992,0.25740803,-0.343822,0.044271,0.929393,0.8
82,2.733333,0.45713015,0.74459364,0.39985992,0.27699167,-0.34728,0.038532,0.931856,0.8
83,2.766667,0.45412316,0.7494183,0.38125192,0.2946037,-0.35012,0.031035,0.937006,0.8
84,2.8,0.44873595,0.75959338,0.36208864,0.30090822,-0.345383,0.021258,0.935564,0.8
85,2.833333,0.4608578,0.7652428,0.33865486,0.29551045,-0.336832,0.010686,0.93795,0.8
86,2.866667,0.46883459,0.77729216,0.30592244,0.28709316,-0.327378,0.002115,0.945855,0.8
87,2.9,0.46811406,0.79568801,0.26670785,0.2767973,-0.316894,-0.005484,0.953181,0.8
88,2.933333,0.49447595,0.79804307,0.22359566,0.2619652,-0.307711,-0.013662,0.963814,0.8
89,2.966667,0.51520369,0.79815093,0.18998597,0.24784184,-0.300331,-0.020159,0.971437,0.8
90,3.0,0.51955217,0.80426886,0.16490047,0.23669598,-0.294737,-0.025414,0.98029,0.8
91,3.033333,0.52001109,0.81253286,0.13475144,0.22632027,-0.285956,-0.032109,0.98979,0.8
92,3.066667,0.51980919,0.82066039,0.10502152,0.21280368,-0.276098,-0.039608,1.000081,0.8
93,3.1,0.52421289,0.82478297,0.07633229,0.19775564,-0.266076,-0.046184,1.010361,0.8
94,3.133333,0.52949328,0.82557861,0.05329665,0.18766004,-0.258416,-0.050677,1.019156,0.8
95,3.166667,0.53116692,0.82722331,0.03660184,0.17950934,-0.251774,-0.055055,1.026742,0.8
96,3.2,0.53180443,0.82946707,0.01875442,0.16975482,-0.239852,-0.059794,1.023869,0.8
97,3.233333,0.53503792,0.82980703,0.00059742,0.15860129,-0.227163,-0.06481,1.024693,0.8
98,3.266667,0.5383006,0.82909774,-0.01506748,0.15034088,-0.21953,-0.069339,1.032101,0.8
99,3.3,0.53964058,0.82914886,-0.02844228,0.14314768,-0.21177,-0.073061,1.034091,0.8
100,3.333333,0.54087406,0.82916125,-0.04309073,0.13449931,-0.201118,-0.077168,1.037045,0.8
101,3.366667,0.54327071,0.8281344,-0.05834436,0.12508512,-0.189048,-0.080171,1.035578,0.8
102,3.4,0.54643305,0.82610898,-0.07402953,0.11607973,-0.177444,-0.082519,1.03451,0.8
103,3.433333,0.54979512,0.8234936,-0.08792514,0.1088705,-0.168803,-0.084434,1.036348,0.8
104,3.466667,0.55263986,0.82118032,-0.09974938,0.10149941,-0.15997,-0.087562,1.037418,0.8
105,3.5,0.55572122,0.81830582,-0.11242875,0.09438902,-0.148461,-0.09292,1.037773,0.8
106,3.533333,0.55911045,0.81502475,-0.1241415,0.08785806,-0.136798,-0.097326,1.03679,0.8
107,3.566667,0.56116945,0.81255797,-0.13446344,0.08220689,-0.125313,-0.100326,1.034578,0.8
108,3.6,0.56188756,0.81076075,-0.14460967,0.07770083,-0.113703,-0.10235,1.030859,0.8
109,3.633333,0.56175239,0.80934554,-0.15468864,0.07392883,-0.10228,-0.104033,1.026912,0.8
110,3.666667,0.56117841,0.80830113,-0.16333822,0.07105417,-0.093549,-0.105645,1.023827,0.8
111,3.7,0.56057626,0.80726138,-0.17140524,0.06858248,-0.086587,-0.10645,1.021544,0.8
112,3.733333,0.55910408,0.80589665,-0.18226073,0.06866034,-0.077382,-0.106531,1.018904,0.8
113,3.766667,0.55788873,0.80296401,-0.196739,0.07281987,-0.067615,-0.106239,1.01568,0.8
114,3.8,0.55736321,0.79861586,-0.21288446,0.07898842,-0.058198,-0.105481,1.012258,0.8
115,3.833333,0.554247,0.79653955,-0.22674841,0.08318756,-0.049562,-0.1049,1.008897,0.8
116,3.866667,0.54916693,0.79696867,-0.23700059,0.08418633,-0.042894,-0.104498,1.005908,0.8
117,3.9,0.5451023,0.7968165,-0.24654769,0.08462378,-0.036838,-0.104164,1.003635,0.8
118,3.933333,0.54250039,0.79528137,-0.2569067,0.08496953,-0.030016,-0.104364,1.002717,0.8
119,3.966667,0.54021723,0.79375047,-0.26671762,0.08358978,-0.022269,-0.10362,1.002372,0.8
120,4.0,0.53614661,0.79398258,-0.27516824,0.0801306,-0.014533,-0.1019,1.002703,0.8
121,4.033333,0.53267053,0.79421993,-0.28254638,0.07512893,-0.008623,-0.100413,1.003653,0.8
122,4.066667,0.53153092,0.79324003,-0.28877739,0.06966171,-0.004895,-0.099542,1.004572,0.8
123,4.1,0.52972461,0.79294128,-0.29378744,0.06576407,-0.002909,-0.09924,1.005155,0.8
124,4.133333,0.52705228,0.79334056,-0.29798974,0.0634726,-0.002089,-0.09917,1.005479,0.8
125,4.166667,0.52496769,0.79385686,-0.30089077,0.06053886,-0.001849,-0.099215,1.005933,0.8
