frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
60,2.0,-0.17010111,0.4555522,0.83589324,-0.2545983,-0.303435,0.095157,0.892524,0.8
61,2.033333,-0.17274689,0.45631493,0.83569227,-0.25209842,-0.304291,0.095535,0.894833,0.8
62,2.066667,-0.17521829,0.4570627,0.83551302,-0.24962018,-0.305289,0.095962,0.897585,0.8
63,2.1,-0.17737312,0.45774195,0.83537878,-0.24729208,-0.306302,0.09638,0.900456,0.8
64,2.133333,-0.17926387,0.45837575,0.83531041,-0.24497482,-0.307339,0.096796,0.903431,0.8
65,2.166667,-0.18089615,0.45906832,0.83523474,-0.24272574,-0.308106,0.097082,0.90562,0.8
66,2.2,-0.18261109,0.45977676,0.83508455,-0.24060823,-0.308496,0.097199,0.906741,0.8
67,2.233333,-0.18453844,0.46047836,0.83484973,-0.23860255,-0.308235,0.097037,0.906004,0.8
68,2.266667,-0.18618206,0.46120312,0.83461469,-0.2367409,-0.307694,0.09677,0.904398,0.8
69,2.3,-0.18763664,0.46188691,0.83441522,-0.23495578,-0.30743,0.096638,0.903563,0.8
70,2.333333,-0.18902697,0.46256786,0.83422871,-0.23315712,-0.307562,0.096684,0.903875,0.8
71,2.366667,-0.19083808,0.46330029,0.83393023,-0.23128778,-0.307578,0.096681,0.903933,0.8
72,2.4,-0.19292551,0.46543379,0.83266861,-0.22981322,-0.30635,0.095738,0.898924,0.8
73,2.433333,-0.19571949,0.46820555,0.83074938,-0.22876386,-0.305189,0.093833,0.893345,0.8
74,2.466667,-0.19905671,0.47127563,0.8284003,-0.22809788,-0.304828,0.090078,0.888767,0.8
75,2.5,-0.20308847,0.47599227,0.82437142,-0.22934295,-0.307116,0.083768,0.887527,0.8
76,2.533333,-0.21164881,0.48349002,0.8174449,-0.23070765,-0.311663,0.075426,0.889627,0.8
77,2.566667,-0.22641642,0.4972446,0.8065998,-0.22556634,-0.319345,0.066422,0.897642,0.8
78,2.6,-0.24863702,0.51862829,0.7899533,-0.21255143,-0.33057,0.057544,0.912224,0.8
79,2.633333,-0.27478424,0.5398462,0.77195176,-0.19274382,-0.340628,0.047156,0.922522,0.8
80,2.666667,-0.29727471,0.55620731,0.75852342,-0.16402254,-0.349045,0.037458,0.928911,0.8
81,2.7,-0.31389615,0.56971992,0.74706627,-0.13704162,-0.354719,0.031336,0.931243,0.8
82,2.733333,-0.32610965,0.58157256,0.73604632,-0.11688313,-0.358458,0.025984,0.931792,0.8
83,2.766667,-0.34040696,0.59207848,0.72442049,-0.09370763,-0.360927,0.018846,0.934358,0.8
84,2.8,-0.35088413,0.60703653,0.70983729,-0.06721604,-0.355951,0.010031,0.930304,0.8
85,2.833333,-0.35980099,0.62789633,0.68937658,-0.03239407,-0.347478,0.001021,0.93221,0.8
86,2.866667,-0.3673468,0.65224986,0.66278119,0.01864219,-0.335559,-0.006634,0.929203,0.8
87,2.9,-0.37489282,0.67476244,0.63311869,0.05754774,-0.324286,-0.01323,0.929797,0.8
88,2.933333,-0.3952345,0.69820578,0.59148939,0.08024141,-0.318083,-0.019688,0.948266,0.8
89,2.966667,-0.41345283,0.72196943,0.54398579,0.10907044,-0.312466,-0.023843,0.960939,0.8
90,3.0,-0.42516204,0.736816,0.50792523,0.13546723,-0.30682,-0.027822,0.968944,0.8
91,3.033333,-0.43423717,0.7486329,0.47533193,0.15826061,-0.297048,-0.03373,0.973327,0.8
92,3.066667,-0.44357382,0.7644924,0.42898132,0.18646356,-0.285858,-0.039072,0.979203,0.8
93,3.1,-0.45569804,0.77914318,0.37179863,0.21688931,-0.274035,-0.043587,0.984408,0.8
94,3.133333,-0.4679297,0.78277708,0.33395953,0.23827058,-0.263954,-0.047144,0.983976,0.8
95,3.166667,-0.48283273,0.77811772,0.31432875,0.25020553,-0.255122,-0.05082,0.982128,0.8
96,3.2,-0.49757775,0.77456088,0.29357106,0.25746429,-0.24443,-0.054966,0.983968,0.8
97,3.233333,-0.51680021,0.76745812,0.27581616,0.26048227,-0.232113,-0.059639,0.984534,0.8
98,3.266667,-0.53717087,0.75697747,0.26496015,0.26120619,-0.222366,-0.063823,0.980899,0.8
99,3.3,-0.54966054,0.74988853,0.25616434,0.26442449,-0.214335,-0.067054,0.97961,0.8
100,3.333333,-0.55602191,0.74671415,0.24484616,0.27075443,-0.204549,-0.070424,0.98356,0.8
101,3.366667,-0.56066924,0.74436672,0.23312386,0.27788749,-0.194005,-0.073211,0.986966,0.8
102,3.4,-0.5647907,0.74193479,0.22182502,0.28519799,-0.183762,-0.0754,0.990878,0.8
103,3.433333,-0.56600575,0.74100261,0.21208693,0.29252649,-0.175866,-0.076896,0.995444,0.8
104,3.466667,-0.56909078,0.73777707,0.20538029,0.29939875,-0.167883,-0.07989,0.999782,0.8
105,3.5,-0.57204308,0.73412149,0.19899062,0.30697732,-0.15762,-0.085322,1.005723,0.8
106,3.533333,-0.5725512,0.73287318,0.19144766,0.31373528,-0.147146,-0.089963,1.011017,0.8
107,3.566667,-0.57287311,0.73231271,0.18383609,0.31896518,-0.136775,-0.093461,1.015662,0.8
108,3.6,-0.57748975,0.72763331,0.17962744,0.3237118,-0.125947,-0.096069,1.015815,0.8
109,3.633333,-0.58447474,0.72117486,0.1763393,0.32741494,-0.11511,-0.098192,1.015693,0.8
110,3.666667,-0.58699639,0.71795708,0.17275282,0.3318574,-0.107055,-0.100164,1.018227,0.8
