frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
62,2.066667,0.51129659,0.84419677,0.09882775,0.12704599,-0.308809,0.113706,0.94389,0.8
63,2.1,0.51152006,0.84407779,0.09960549,0.1263276,-0.309752,0.114047,0.946623,0.8
64,2.133333,0.5118267,0.84388617,0.10006098,0.12600539,-0.310683,0.114386,0.949433,0.8
65,2.166667,0.51235532,0.84359776,0.09996268,0.12586624,-0.311284,0.1146,0.951351,0.8
66,2.2,0.51306666,0.84318979,0.09971071,0.12590217,-0.31152,0.114697,0.952178,0.8
67,2.233333,0.5138593,0.84274666,0.0991344,0.12609145,-0.3112,0.114609,0.951274,0.8
68,2.266667,0.51460756,0.84234658,0.09828383,0.1263787,-0.310611,0.114422,0.949559,0.8
69,2.3,0.5152937,0.84195501,0.09761963,0.12670662,-0.310249,0.114307,0.948522,0.8
70,2.333333,0.51595955,0.84155968,0.09714438,0.12698824,-0.310266,0.114316,0.948622,0.8
71,2.366667,0.51659247,0.84117646,0.0970896,0.12699603,-0.31022,0.114316,0.948497,0.8
72,2.4,0.51646205,0.8412908,0.09752899,0.12643113,-0.308766,0.113098,0.942944,0.8
73,2.433333,0.51639294,0.84147619,0.09767888,0.12535942,-0.307119,0.110808,0.93569,0.8
74,2.466667,0.51759541,0.84090098,0.09762041,0.12430117,-0.306023,0.10675,0.927734,0.8
75,2.5,0.51837808,0.84005494,0.09691975,0.12727305,-0.306981,0.099814,0.920695,0.8
76,2.533333,0.51778969,0.83930665,0.0961686,0.13494362,-0.310741,0.09081,0.917383,0.8
77,2.566667,0.51646558,0.83854289,0.09378207,0.1459933,-0.315695,0.080924,0.91677,0.8
78,2.6,0.51536156,0.83678019,0.08775635,0.16278881,-0.32317,0.071231,0.922482,0.8
79,2.633333,0.5158534,0.83327206,0.07442207,0.18442965,-0.330752,0.05998,0.926263,0.8
80,2.666667,0.5139024,0.83001231,0.05635586,0.20930339,-0.337392,0.049579,0.928581,0.8
81,2.7,0.51241442,0.82710148,0.03614114,0.22809741,-0.342558,0.042832,0.93188,0.8
82,2.733333,0.51215013,0.82379696,0.0185835,0.24231275,-0.346346,0.03696,0.934075,0.8
83,2.766667,0.50485267,0.82227979,0.00339725,0.26261795,-0.350008,0.029671,0.940732,0.8
84,2.8,0.50173968,0.82033258,-0.01044542,0.274231,-0.347601,0.020125,0.944357,0.8
85,2.833333,0.51961935,0.80900245,-0.03980861,0.27189344,-0.339804,0.009398,0.950854,0.8
86,2.866667,0.53241613,0.80096848,-0.08141376,0.26144666,-0.329275,0.000214,0.957104,0.8
87,2.9,0.5328679,0.79846835,-0.12938327,0.24851571,-0.318751,-0.007509,0.964092,0.8
88,2.933333,0.53884433,0.78655271,-0.18719212,0.23651793,-0.310755,-0.015869,0.978609,0.8
89,2.966667,0.5427275,0.77845249,-0.21988118,0.22607709,-0.304814,-0.022611,0.988979,0.8
90,3.0,0.54533553,0.77382813,-0.24183442,0.21287389,-0.299053,-0.027986,0.996576,0.8
91,3.033333,0.54479403,0.76702861,-0.27877164,0.19275101,-0.288899,-0.034609,1.001856,0.8
92,3.066667,0.53824515,0.76109394,-0.31819875,0.17256225,-0.277584,-0.042005,1.007308,0.8
93,3.1,0.53305529,0.75381885,-0.35259248,0.15260323,-0.267078,-0.048795,1.015775,0.8
94,3.133333,0.53357269,0.74665316,-0.37208263,0.13915375,-0.259221,-0.053594,1.022916,0.8
95,3.166667,0.53358528,0.74242425,-0.3847542,0.12671698,-0.251675,-0.057897,1.026396,0.8
96,3.2,0.53326863,0.73613468,-0.40189573,0.1104994,-0.239134,-0.062323,1.020718,0.8
97,3.233333,0.53364755,0.72836365,-0.41908427,0.09526312,-0.226436,-0.066982,1.020612,0.8
98,3.266667,0.5304267,0.72173843,-0.43667475,0.08400191,-0.218766,-0.071458,1.026743,0.8
99,3.3,0.52775323,0.71528286,-0.4520535,0.07412555,-0.21118,-0.075338,1.028827,0.8
100,3.333333,0.52372296,0.70754073,-0.47077022,0.05895577,-0.200877,-0.079475,1.03286,0.8
101,3.366667,0.51341972,0.70076575,-0.49317541,0.04588651,-0.189301,-0.082753,1.03214,0.8
102,3.4,0.50434969,0.69474752,-0.51152992,0.03597783,-0.178136,-0.085352,1.0317,0.8
103,3.433333,0.4984728,0.69005131,-0.52388755,0.02993143,-0.16958,-0.087344,1.032742,0.8
104,3.466667,0.49205169,0.68640078,-0.5347824,0.02732921,-0.160878,-0.090506,1.033264,0.8
105,3.5,0.48830925,0.68059181,-0.5457035,0.02359134,-0.14967,-0.095847,1.034722,0.8
106,3.533333,0.48493731,0.67608452,-0.55436742,0.02054955,-0.138395,-0.100439,1.035719,0.8
107,3.566667,0.48189814,0.67232347,-0.56164594,0.01758315,-0.127258,-0.103691,1.035919,0.8
108,3.6,0.47904451,0.66966186,-0.56739197,0.01164856,-0.115878,-0.105953,1.034344,0.8
109,3.633333,0.47557952,0.66824813,-0.57204651,0.00559848,-0.104622,-0.107847,1.0321,0.8
